tokenID,name,file_name,description,attributes[Background],attributes[Body],attributes[Clothes],attributes[Face],attributes[Hat]
1,NFT #1,1.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Light Blue,Leopard Ape,Summer,Pizza,Crown
10,NFT #10,10.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Purple,Black Ape,Tank Top White,Glasses,Halo
100,NFT #100,100.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Dark Blue,Brown Ape,Prisoner,Robot Eye,America Helmet
1000,NFT #1000,1000.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Dark Blue,Gold Ape,Suit,Pizza,Crown
101,NFT #101,101.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Purple,Brown Ape,Tank Top White,Eye Patch,Crown
102,NFT #102,102.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Purple,Pink Ape,Space,Beard,No Hat
103,NFT #103,103.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Neon Aqua,Brown Ape,Tank Top White,Robot Eye,Crown
104,NFT #104,104.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Olive Green,Black Ape,Plain Gray,Glasses,No Hat
105,NFT #105,105.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Orange,Yellow Ape,Army,Eye Patch,Halo
106,NFT #106,106.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Orange,Pink Ape,Tank Top White,Eye Patch,Cowboy Hat
107,NFT #107,107.png,Where apes meet haute couture. This uniquely dressed primate is part of the Ape Couture Society collection—ready to rock your digital world!,Dark Blue,Leopard Ape,Plain Blue,Robot Eye,America Helmet
